date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:47	37940/37940	---M--	200	added ('OK')	text/css	etag:%2228a063b-9434-576a4be1f7500%22	http://demo.2webros.com/myvitae/css/style.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/css/style.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:48	34515/34515	---M--	200	added ('OK')	text/css	etag:%2228a0638-86d3-576a4be3df980%22	http://demo.2webros.com/myvitae/css/font-awesome.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/css/font-awesome.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:49	59746/59746	---M--	200	added ('OK')	text/css	etag:%2228a063e-e962-576a4bed69000%22	http://demo.2webros.com/myvitae/icon/css/ionicons.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/icon/css/ionicons.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:51	152719/152719	---M--	200	added ('OK')	text/css	etag:%2228a0636-2548f-576a4be00f080%22	http://demo.2webros.com/myvitae/bootstrap/css/bootstrap.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/css/bootstrap.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:52	2139/2139	---M--	200	added ('OK')	text/css	etag:%2228a063c-85b-576a4be1f7500%22	http://demo.2webros.com/myvitae/css/tooltip-bloated.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/css/tooltip-bloated.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:53	18526/18526	---M--	200	added ('OK')	text/css	etag:%2228a063a-485e-576a4be3df980%22	http://demo.2webros.com/myvitae/css/responsive.css	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/css/responsive.css	(from http://demo.2webros.com/myvitae/css/main.css)
11:40:53	36665/36665	---M--	200	added ('OK')	application/javascript	etag:%2228a0637-8f39-576a4be00f080%22	http://demo.2webros.com/myvitae/bootstrap/js/bootstrap.min.js	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/bootstrap/js/bootstrap.min.js	(from http://demo.2webros.com/myvitae/)
11:40:55	282766/282766	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.js	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/ajax.googleapis.com/ajax/libs/jquery/1/jquery.js	(from http://demo.2webros.com/myvitae/)
11:40:57	342493/342493	---M--	200	added ('OK')	image/jpeg	etag:%2228a0656-539dd-576a4c007bd00%22	http://demo.2webros.com/myvitae/img/full6.jpg	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/full6.jpg	(from http://demo.2webros.com/myvitae/)
11:40:58	3230/3230	---M--	200	added ('OK')	image/png	etag:%2228a064f-c9e-576a4c081cf00%22	http://demo.2webros.com/myvitae/img/close.png	C:/Users/niharika/Desktop/swdjango/SWInternship_portfolio/demo.2webros.com/myvitae/img/close.png	(from http://demo.2webros.com/myvitae/css/style.css)
